en_sentence	fa_sentence	translation	variety (Western Gilaki|Eastern Gilaki)	county	orthography	translator	5420
a sure sign with him of mental agitation.	این نشان قاطعی از هیجان وی بود شروع به قدم زدن در اتاق کرد.	اي يته ديارٚ نمأ اۊنٚ هیجانٚ جي بۊ و دۊرۊن مئن مۊتٚن سرأگیته	Eastern Gilaki	Lahijan	Vrg	AS	
but it would be difficult to say exactly why.	معلوم نشد چرا این عنوان او را به خنده انداخت	معلۊم نۊبؤ چره اي سرنؤم اۊنٚ بخندنئه	Eastern Gilaki	Lahijan	Vrg	AS	
but checked himself immediately and sent for a senior officer.	اما بی درنگ خاموش شد و دستور داد تا افسر ارشد را به حضورش بخوانند	بي رأفأ دٚکۊشته بۊبؤ و دستۊر بدأ پیله افسرٚ اینٚ ورجه دۊخونٚن	Eastern Gilaki	Lahijan	Vrg	AS	
he felt as though it were crouching ahead of him like some horrific monster, barring his path.	در نر هری همچون هیولای مخوفی بود که بر سر راهش کمین کرده و راه عبورش را بسته بود.	درنر هری يته زأل‌تٚرکٚن یلنگ بۊ گه اۊن راغٚ سر فۊخۊس بؤده و اۊن رأدوارٚ دٚوٚسته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
I could use the period for independent study.	می تونم از زمانش واسه ی مطالعه آزاد استفاده کنم	تۊنه مي زٚمٚتٚ جي آزاد خؤندٚنٚ وأسي کأرأگيرم	Eastern Gilaki	Lahijan	Vrg	AS	
was afraid would be coming back to get him one of these days.	همیشه از این واهمه دارد که روزی دوباره به سراغش بیاید.	همیشه اینٚ جي ترسنٚم گه هنده یه رۊج اۊنٚ ور بيه	Eastern Gilaki	Lahijan	Vrg	AS	
pass my time in a manner as recluse as I pleased.	در آنجا چنانکه دلخواه منست عمر خود را به انزوا بگذرانم.	اؤره اۊتؤ گه می چٚم ایسه واوریج مئن دٚزيوٚم	Eastern Gilaki	Lahijan	Vrg	AS	
I'm cross and have been out of sorts all day.	من امروز خیلی بدخلق هستم و امروز اصلاً توی جلد خودم نیستم.	مۊ ایمرۊ پۊر خۊکٚ چم ایسم و ایمرۊ أزأ مي جيلدٚ مئن دنئم	Eastern Gilaki	Lahijan	Vrg	AS	
he did not believe it would be of any good to the patient.	عقیده نداشت که این امور به حال بیمار مفید باشد.	ایتؤ‌ پیرأ ندأشت گه ای کارؤن ناخؤش آدم وأسي خۊرۊم ببي	Eastern Gilaki	Lahijan	Vrg	AS	
who remained motionless in his place, as calm as ever, and pursuing his interrogation	که مشارالیه آسوده و با کمال وقر ایستاده بود	گه مشارالیه آرؤم و گۊلاز‌ امره ایسأبۊ	Eastern Gilaki	Lahijan	Vrg	AS	
one of cheap materials for daily use at the office	یکی از جنس ارزان برای استفاده روزانه در اداره	یته ارزؤن چي رۊجٚ کأر وأسي اداره مئن	Eastern Gilaki	Lahijan	Vrg	AS	
opening his arms to clutch the bundle and lay it in the cart.	برای گرفتن علوفه با دستهای از هم گشوده شتاب میکرد و آن را به سرعت در ارابه میریخت.	وأگۊده دسؤن أمره کۊلۊشٚ گيتنٚ وأسي تۊندأکۊده و اۊشؤننٚ تۊندأتۊندي امره ارابه مئن فۊکۊده دره بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
but after that it'll be more convenient for us to have him at the hospital.	اما پس از اون خو به در مریضخونه با شه.	اما اۊنٚ پس خۊرۊم بنه گه مریضخؤنه مئن ببي	Eastern Gilaki	Lahijan	Vrg	AS	
that he had been in the army and had lost both leg and eye shortly before the surrender.	در جنگ شرکت کرده و در اواخر جنگ یک چشم و یک پایش را از دست داده است.	کالجار مئن شرکت بؤده و کالجار فیچئن زٚمٚت مئن خۊ یته چۊم ۊ یته لگٚ چیکأدأ	Eastern Gilaki	Lahijan	Vrg	AS	
I hadn't forgotten my score!	پاک یادم رفته بود که او حسابش را نپرداخته است!	أزأ مئا يادأشؤ بۊ گه اۊ خۊ حسابٚ نپردأته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
six stewpots that stood round the blaze	به دور این آتش عظیم شش دیگ بزرگ به ردیف چیده شده بودند	اي پيله تشٚ دؤر شیش‌ته پیله تئن تترج دچئه بۊبؤ بؤن	Eastern Gilaki	Lahijan	Vrg	AS	
the others had to be content with this cryptic answer.	حیوانات مجبور بودند به همین پاسخ سربسته اکتفا کنند.	حیوؤنؤن مجبور بؤن هي دٚخۊته آوجٚ وأپراز بکۊنٚن	Eastern Gilaki	Lahijan	Vrg	AS	
in all haste returned to the hole	سپس به سرعت از پلکان به انبار بالا آمد	اۊنٚ پس تۊندأتۊندی امره نالدار جي جؤري انبارٚ برسئه	Eastern Gilaki	Lahijan	Vrg	AS	
that still and golden hue that means twilight's outrider has arrived.	که مفهوم آن این بود که چابک سوار غروب داشت از راه می رس ید.	اۊنٚ گب اي بۊ گه چابۊک سوار شأنسر زٚمت رسئه دره بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
so that they were both uneasy	وضع چنان بود که هر دو سخت آشفته و منقلب بودند	وضع اۊتؤ بۊ گه هر دۊته وأهیل و دیل‌وأشين بؤن	Eastern Gilaki	Lahijan	Vrg	AS	
you'd better keep quiet	به عقیدهٔ من بهتر است بیش از این صحبت نکنید.	مي گب خۊرۊم‌تر ایسه اینٚ جي ويشته گب نزنين	Eastern Gilaki	Lahijan	Vrg	AS	
though it is not our custom to lead strangers through our land.	هر چند رسم ما این نیست که بیگانگان را به سرزمین خود راه دهیم.	امی ور دأب نيه گه غریبه‌ئانٚ امي سأمؤنٚ مئن رأ بدئيم	Eastern Gilaki	Lahijan	Vrg	AS	
I am finishing the most execrable morning's work	که من امروز چه صبح مکروه و با زحمتی دارم که هیچ وقتی این قدر گرفتار زحمتی نشده بودم.	گه مۊ ایمرۊ سوأينٚ سر چۊره جؤن بٚکندٚم گه هي‌ زٚمٚت ایتؤ کارٚ امره فیپیته نۊبؤ بؤم	Eastern Gilaki	Lahijan	Vrg	AS	
he would be the first to help her find happiness with a worthy suitor.	خودش پا پیش بگذارد و خواستگار مناسبی برایش پیدا کند که او را سعادتمند سازد.	خۊ پأ پیش بنئه و وأپراز خاستگار اۊنٚ وأسي بیأجي گه اۊنٚ خۊشوقت بکۊني	Eastern Gilaki	Lahijan	Vrg	AS	
a light haired woman by his side	پشت سرش یک پسربچه و یک زن سیاه چشم بود	اۊنٚ سرٚ پۊشت یته ریکه زأک و یته سیأ چۊم زنأک بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
the infidelity of the wife and infidelity of the husband are punished unequally, both by the law and by public opinion.	زن خائن و مرد خائن چه قانوناً و چه عرفاً یکسان مجازات نمیشوند.	خائن زنأک و خائن مردأک قانونٚ‌وري و عرف‌ٚوري وألینه أنگاس نبۊنٚن	Eastern Gilaki	Lahijan	Vrg	AS	
their walking within a few feet of the house where they stopped.	که همراه با هم تا چند قدمی آن خانه پیش بروند.	گه همدیگرٚ امره تا اۊ خؤنه پیشٚ ور بۊشؤن	Eastern Gilaki	Lahijan	Vrg	AS	
because there is no reason for my lingering another minute, if you persist in your stubborn ill nature!	زیرا دیگر حاضر نیستم یک دقیقه بیش از این صبر کنم و شاهد لجبازی و یکدندگی احمقانه تو باشم!	چۊن دئه حاضر نۊبؤم يه ديقه زٚمٚت اينٚ جي ويشته بئسأم و اۊنٚ يک‌کۊلي بؤنٚ بئينٚم	Eastern Gilaki	Lahijan	Vrg	AS	
but he had certainly lifted his arm off the coverlet	توان حرف زدن نداشت اما به یقین بازویش را از زیر رواندازها بیرون آورده بود	گب زئنٚ زورٚ ندأشت اما یقین امره خۊ بألٚ روانداز جيرٚ جي بیرۊن بأرده	Eastern Gilaki	Lahijan	Vrg	AS	
till he grew irritable, and got up	سرانجام از اصرار من به ستوه آمد و ناراحت شد و از جای برخاست	سلأخر مي پأ دکۊدنٚ جي وأزده بۊمأ و اينٚ کتیر جیر بٚکته و خۊ جأ سرٚ جي ويرسأ	Eastern Gilaki	Lahijan	Vrg	AS	
she must avail herself of the help of all, and all derive their lustre from her.	زیرا این دختر باید از همه دختران دیگر خدمت بگیرد و دختران دیگر نیز در سایه او معزز و سربلند شوند.	چۊن اي لاکۊ خأ همته لاکۊئؤن جي خدمت بگیري و اۊ لأکؤن ني اينٚ سایه جير وأپراز و سربٚجؤر بۊبؤن	Eastern Gilaki	Lahijan	Vrg	AS	
for our sovereign appreciated him so highly before.	زیرا امپراطور در گذشته نیز همیشه برای لیاقت و شایستگی او ارزش قابل بوده است.	چۊن کيا دئبارٚ رۊجؤن مئن ني هميشه اۊنٚ وأورأز بؤنٚ بال بزئه دأنه	Eastern Gilaki	Lahijan	Vrg	AS	
down he came to the ground in the sight of the landlord and the travellers	پهلوان در جلو چشم کاروانسرا دار و مسافران بر زمین افتاد	گیله‌مرد کاروؤنسرأدأر و مسافرؤنٚ چۊمٚ پیش گٚل بۊخؤرده	Eastern Gilaki	Lahijan	Vrg	AS	
partly because he was too proud to betray	وانگهی مغرورتر از آن بود که خوی حسودش را آشکار سازد.	وانگهی اۊنٚ جي تنام‌تر بۊ گه خۊ حسۊدٚ چم دیار بکۊني	Eastern Gilaki	Lahijan	Vrg	AS	
I should not wonder if it were to end in his being so at last.	هیچ بعید نیست کارش بالاخره بکشد به این که فکر کند عاشق او هست.	هيچ دۊر نیه اينٚ کار بالاخره اي ويئرٚ سٚر بکشي گه اۊنٚ تنخا ایسه	Eastern Gilaki	Lahijan	Vrg	AS	
I must make it plain that nobody is to leave school without permission.	هیچ کس نباید بدون اجازه از مدرسه خارج به شه.	هي‌کٚس نوأ بي وأهشتن مدرسه جي بیرۊن بٚشي	Eastern Gilaki	Lahijan	Vrg	AS	
we felt it was a good time to have a chat.	احساس مینم وقت خوبی باشد که من و گرو بز با هم کمی گپ بزنیم.	ایتؤ حس‌کؤنم گه خۊرۊم زٚمٚت ببي أه مۊ و گروبز ایسکئه گٚب بزنيم	Eastern Gilaki	Lahijan	Vrg	AS	
hell, I says I wasn't gonna fret ya.	اوه پناه بر خدا من گفته بودم چیزی نمی گم که شما دلواپس به شین	یا خۊدأ مۊ بؤته بۊم هیچي نٚگۊنٚم گه شمه دلوأپس نٚبين	Eastern Gilaki	Lahijan	Vrg	AS	
for were the lower end of the line in any way attached to the boat	چون اگر سر زیری ریسمان به نحوی به قایق بسته باشد	چۊن اگر لافندٚ جیري سرٚ‌ یه جۊري ناؤٚ سر دٚوٚسته بي	Eastern Gilaki	Lahijan	Vrg	AS	
I clear my conscience	من هرگونه مسئولیت وجدانی را از خود سلب کنم	مۊ هر جۊرٚ وجدانٚ دسٚ داري ئه مي سر جي ویتٚم	Eastern Gilaki	Lahijan	Vrg	AS	
I had a hundred opportunities of setting him right and putting him down	من صد بهانه برای سرزنش و تحقیرش پیدا کردم	مۊ صد جۊرٚ گأله اۊنٚ سرأکۊ و تحقیر گۊدٚن وأسي بیأتم	Eastern Gilaki	Lahijan	Vrg	AS	
I only began to understand him from the moment when he passed away.	تنها از آن دم که از میان ما رفت کم کم به درک او نایل شدم.	أزأ اۊ زٚمٚت جي گه امه مئن جي بۊشؤ ایسه ایسه اینٚ درسئه درم	Eastern Gilaki	Lahijan	Vrg	AS	
everything shows it.	هر جا رو نیگا کن ین نشون می ده.	هر جا ئه نيا بکۊنین دیار ایسه	Eastern Gilaki	Lahijan	Vrg	AS	
finding me absolutely determined to return to my native country, was pleased to give me his license to depart	چون دید که عزم راسخ من بر آنست که به زاد و بوم خود بازگردم با خشنودی به من اجازه حرکت داد	چۊن بدئه مي پأ سر ایسأم گه مي سأمۊنٚ به وگردم هین وأسي خؤشي امره مئا شؤن وأسي واهشته	Eastern Gilaki	Lahijan	Vrg	AS	
but, unluckily, I had mentioned it before I was aware.	ولی متأسفانه قبل از این که حواسم را جمع کنم قضیه را به او هم گفتم.	ولی نأجه دأغی اۊنٚ پیش گه مي حواسٚ جمأکۊنٚم گبٚ اۊنٚ ور بؤتٚم	Eastern Gilaki	Lahijan	Vrg	AS	
I'm not missing that plane!	باید هر طور هست خودمان را به هواپیما برسانیم!	وا هر جۊر گه بۊبؤ امره بالؤنٚ برسنيم	Eastern Gilaki	Lahijan	Vrg	AS	
so that she said he did not care for her	تا آن جا که کیتی گفت له وین هیچ توجهی به او ندارد	تا اؤره گه کیتی بؤته لوین اینٚ دیم ندئنه	Eastern Gilaki	Lahijan	Vrg	AS	
had got possession of the dappled gray, at the price of his old horse and thirty pounds in addition	اسب خاکستری را در ازاء اسب کهرش و سی پوند پول نقد به دست آورده بود.	خۊ نیلٚ اسپٚ کهر اسپٚ امره هدأهگیر بؤده و سی پوند پۊل اینٚ دسٚ بٚگیته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
his shaggy black head grazing the ceiling.	موهای سیاه و نامرتبش به سقف کلبه برخورد کرد.	اینٚ سیا شۊلر سرمۊ کۊمه گۊفٚ بۊخؤرده	Eastern Gilaki	Lahijan	Vrg	AS	
at present it is as smooth and verdant as its companion mounds	اکنون آن قبر نظیر دو قبری که پهلوی آن واقع است از چمن سبز و لطیفی پوشیده است	ايسه اۊ قٚبر ني خۊ ورجه دۊته دئه قبر مۊسؤن سبزٚ چمٚن جي وأتئه بۊبؤ	Eastern Gilaki	Lahijan	Vrg	AS	
from which I had been so strangely delivered.	همان کشوری که با آن طرز شگفت انگیز از آنجا نجات یافته بودم.	هۊ کشور گه اۊ شگفن انگیج رجه امره اۊن جي در بۊشؤ بؤم	Eastern Gilaki	Lahijan	Vrg	AS	
as there isn't SOME of us wasn't brought up respectable.	آخه می دونی بعضی از ماها که مثه آدم درست و حسابی بار نیومدیم!	آخه دؤني يه پاري امه جي دۊرۊست آدمٚ مۊسؤن آمۊته نۊبؤيم	Eastern Gilaki	Lahijan	Vrg	AS	
I tried to listen to other sounds	سعی کردم حواسم رو با صداهای دی گه مشغول کنم.	أغسأی بؤدٚم مي ويرٚ دئبأخي صدائؤن امره مشغول بکۊنٚم	Eastern Gilaki	Lahijan	Vrg	AS	
growlingly disappearing, like bears into a cave.	در واقع مثل خرس غران در غار خود ناپدید شدند.	گۊره زئنين خٚش مۊسؤن خۊشؤنٚ لۊکه مئن اویرأبؤن	Eastern Gilaki	Lahijan	Vrg	AS	
driving or walking, and we'll have capital times.	سورای یا گردش و حتماً خیلی بهمان خوش خواهد گذشت و اوقات خوبی خواهیم داشت.	فۊرؤندٚن یا مۊجئن امره، حتما امره پۊر خؤش خأنه بؤن و خۊرۊم زمت خأنيم دأشتٚن	Eastern Gilaki	Lahijan	Vrg	AS	
by an immediate alteration of the will, should be secured at his death.	با اصلاح فوری وصیت نامه پرداخت آن را پس از مرگش تضمین کند.	خۊ وصیت نؤمه تۊندٚ اصلاح امره اۊنٚ وأپرداتنٚ خۊ مۊردنٚ پسي تضمین بٚکۊني	Eastern Gilaki	Lahijan	Vrg	AS	
take the box out of the sea into the ship, and so into the captain's cabin.	صندوق را از دریا برگیرد و در کشتی و سپس در اطاق ناخدا بگذارد.	دۊلاوٚ دریا جي ویگیره و ناؤ مئن و اونٚ پس لسمؤن دۊرۊنٚ مئن بنئه	Eastern Gilaki	Lahijan	Vrg	AS	
his mother had sent them three hundred francs which he had no longer expected	مادرش سیصد فرانک برای او فرستاده بود که در قبال آن تعهدی نداشت	اۊنٚ مأر سیصد فرانک اۊنٚ واسي سرأدأ بۊ گه اۊنٚ سٚر تعهد ندأشت	Eastern Gilaki	Lahijan	Vrg	AS	
you would not like me to risk taking cold?	البته تو راضی نخواهی شد که من زکام بشوم.	البت تۊ دیم نٚخأني هدأن گه مۊ وینه‌چرٚش بۊبؤم	Eastern Gilaki	Lahijan	Vrg	AS	
though not, as you will see, of his affairs.	لیکن چنانکه خواهد آمد تنها از شر وجودش راحت شدیم نه از شر کارهایش.	ولی اۊتؤ گه خأنه أمأن أزأ اۊنٚ بؤن شرٚ جي راحتأبيم نه اۊن کارؤن شر جي	Eastern Gilaki	Lahijan	Vrg	AS	
collecting together a gang of workers to help him, principally of his own family, became a partner in the cattle yard.	عده ای را به دور خود جمع کرد که عمدتاً از اعضای خانواده ی خودش بودند و در بخش دامداری سهیم شد.	يه پأري ئه خۊ دؤر جمأکۊده گه ویشترني خۊشٚ خؤنواده جي بؤن و مالداري مئن سهم‌دار بۊبؤن	Eastern Gilaki	Lahijan	Vrg	AS	
unscrewed it, and turned it over.	در شیشه را باز کرد و آن را برگرداند.	شيشه درٚ بازأگۊده و اونٚ وگاردنئه	Eastern Gilaki	Lahijan	Vrg	AS	
every instant of that night was markedby a joy for him.	همه لحظات این شب برای او با یک شادی نشان شده بودند.	همته اي شؤئه زٚمٚتؤن اۊنٚ وأسي یته شادی امره بٚنيشته بۊبؤ بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
4. he is ready to bear pain for the comfort of others	4 حاضر است خود را به زحمت بیندازد تا دیگران در آسایش باشند	حاضر ایسه خۊشٚ زحمتٚ مئن فدئه تا دئباخئن آسایش مئن بئسأن	Eastern Gilaki	Lahijan	Vrg	AS	
suddenly feeling very much out of place and alone	ناگهان خود را در آن جمع غریبه احساس کرد.	یه دوأ خۊشٚ اۊ غریبه گردهأگیر مئن احساس بؤده	Eastern Gilaki	Lahijan	Vrg	AS	
was when with one shot she killed a thief who was trying to force the door of her house.	آن موقعی بود که دزدی را به دلیل وارد شدن زورکی به خانه با شلیک گلوله کشته بود.	اۊ زٚمٚت بۊ گه یته دۊزٚ زۊرازۊري خؤنه مئنٚ أمأنٚ وأسي گۊله فۊدأشتنٚ امره بکۊشته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
I hurry out of the restaurant to discover it's started to rain.	با عجله از رستوران امدم بیرون. از بدشانسی باران شروع شده بود.	تۊندأتۊندي رستوران جي دربۊمأم. بدشانسي جي وارش دگیته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
at this stage any influence I might once have had is completely gone.	در این شرایط هر نفوذی هم که ممکن بود داشته باشم کاملاً از بین رفته است.	اي مئنأمئن مئن هرته تجئن ني گه بؤنين بۊ بدأشته بؤم دۊرۊسته مؤقۊب بۊبؤ	Eastern Gilaki	Lahijan	Vrg	AS	
we ought even to add that, among the curiositiesdisplayed in the square	این را هم باید بگوییم که بین اشیاء نادری که در میدان چیده بودند	اینٚ وأ بؤگيم گه کم‌یاب چيزؤن مئن گه ميدؤن مئن دچئه بؤن	Eastern Gilaki	Lahijan	Vrg	AS	
don't turn me out for those pitiful, silly friends of yours!	تو نباید برای خاطر آن دوستان لوس احمقت مرا از اینجا بیرون کنی.	تۊ نوأ تي دالٚ لوس رخأئؤن وأسي مئا ائره جي بیرۊن بٚکۊني	Eastern Gilaki	Lahijan	Vrg	AS	
his thick brown curls were rough and uncultivated	موی سرش نامرتب و موهای صورتش زبر و ژولیده بود.	اينٚ سرمۊ شولر و اینٚ دیمٚ مۊ دۊرج و فٚک بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
the hussars were ordered up the hill to support the battery.	به هوسارها دستور داده شد برای پوشش توپخانه به بالای تپه حرکت کنند.	هۊسارؤن دستور بدأ بۊبؤ توپخؤنه وأپۊشئن وأسي کۊلٚ سر بۊشؤن	Eastern Gilaki	Lahijan	Vrg	AS	
I will give twenty with pleasure to get you out of that trouble	من از صمیم قلب حاضرم بیست دوکا بدهم و ترا از این مجازات معاف بدارم.	مۊ مي دیلٚ صمیم جي تۊنٚم بیست دۊکأ هدأم و اونٚ اي أنگاس جي معاف بکۊنٚم	Eastern Gilaki	Lahijan	Vrg	AS	
I must observe that from the legal point of view the case was far from clear.	باید توجه داشت که از لحاظ حقوقی این کار بسیار بغرنج است.	وأ دیم دأشتٚن گه حقوق‌وري جي اي کار پۊر بغرنج ایسه	Eastern Gilaki	Lahijan	Vrg	AS	
came to think of armies, or to teach his people the practice of military discipline.	چگونه در اندیشه آراستن سپاه و آموختن انضباط نظامی به مردم خود برآمده است.	چۊتؤ لشگرٚ أراشتنٚ و مردۊمٚ نظامي انضباطٚ آمۊتٚن ویر اینٚ سر مئن دکته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
amidst silence and complete darkness I fell asleep.	در میان سکوت و ظلمت محض به خواب رفتم.	اي دۊرۊسته تأم و تاریکی مئن مئا خؤ ببۊرده	Eastern Gilaki	Lahijan	Vrg	AS	
he resolved to make another sally in three or four days from that time.	بر آن شد که در ظرف سه یا چهار روز دیگر باز از خانه بیرون زند.	ایتؤ بۊبؤ گه سۊ چار رۊج دئه هنده خؤنه جي بیرۊن بزني	Eastern Gilaki	Lahijan	Vrg	AS	
I can't I can't live without her!	نمی تونم نمی تونم بدون اون زندگی کنم.	منئم اۊنٚ نۊبؤن امره بزيوٚم	Eastern Gilaki	Lahijan	Vrg	AS	
his lopsided mouth revealed a number of missing teeth.	وقتی دهان کجش باز شد جای خالی چند دندان در دهانش نمایان شد.	اۊ زٚمٚت گه اينٚ لسٚ مچه بأزأبؤ اينٚ چنته گازٚ ندأشته بؤن دیارأبؤ	Eastern Gilaki	Lahijan	Vrg	AS	
all into this breast transfer their pains	بگو تا همه با هم عذاب جانکاه خود را به جان من بریزند	بۊگۊ تا همته خۊشؤنٚ جؤن‌کاه عذابٚ مي جؤن سٚر فۊکۊنن	Eastern Gilaki	Lahijan	Vrg	AS	
quite as if hehad not been instructed as to all this before hand	طوری که انگار جفسن جواب این سؤال را یادش نداده بود.	اۊتؤ گه بخألي جفسن اي واپۊرسٚ آوٚجٚ اۊنٚ نيأمۊته بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
he'll soon detest you as much as I do.	او به زودی متوجه حقایق گشته و مانند من از تو متنفر خواهد شد.	اۊ زۊدترئه رأسئه ئانٚ فهمنه و مي مۊسؤن اۊن جي بۊزأکئنه	Eastern Gilaki	Lahijan	Vrg	AS	
I can never grow out of that.	دیگر ممکن نیست هرگز این عادت را ترک کنم.	دئه هرگي بؤنشأ نبۊ اي عادتٚ وأهلم	Eastern Gilaki	Lahijan	Vrg	AS	
in the car you weren't intending to fly!	با هم ون ماشینی که قصد نداشتی ازش استفاده کنی	هۊ ماشین امره گه نوأسي اۊنٚ جي کأرأگيري	Eastern Gilaki	Lahijan	Vrg	AS	
I have but exchanged with him one look, yet that look convinced me that we were doomed.	یک نظری بیشتر به من نکرد و در آن یک نظر من مرگ خود را معاینه دیدم.	یته پیرأ ویشته مئا نؤده و اۊ يته پيرأ مئن مۊ مي مۊردنٚ بدئم	Eastern Gilaki	Lahijan	Vrg	AS	
that no one had ever painted a picture like it.	که تاکنون هرگز کسی چنین چیزی نقاشی نکرده است.	تأيسه هي کٚس ایتؤ لاچئه نکشئه بۊ	Eastern Gilaki	Lahijan	Vrg	AS	
so that if anything came of it, it could still be redeemed.	به محض اینکه موقعیت مناسب به دستش آمد آن را از گرو درآورد.	هیتؤ گه یته رچٚ جگاه اینٚ گیر دٚکته اۊنٚ گرؤ جي در بأرده	Eastern Gilaki	Lahijan	Vrg	AS	
which he was to explain with this listof answers	چون با جوابهائی که جفسن به رام نوشته می دونم چی به گم.	چون اۊ آوجؤن امره گه جفسن رام واسي بٚنویشته دؤنم چي بۊگؤم	Eastern Gilaki	Lahijan	Vrg	AS	
keeping the gun in the shadowed hollow of one lacerated and shredded elbow.	اسلحه را در گودی آرنجش که تکه پاره شده بود نگه داشت.	خلا ئه خۊ أشپه گۊدي مئن گه وأرجنئه بۊبؤ بۊ بدأشته	Eastern Gilaki	Lahijan	Vrg	AS	
but at the last instant swept low to the snow	اما در لحظه آخر خود را خم کرد و سرش به برف رسید.	آخري لحظه مئن خۊشٚ فٚچمسه و اينٚ سر ورفٚ برسئه	Eastern Gilaki	Lahijan	Vrg	AS	
as little of him as possible not be introduced at all.	اصلا به کلاید معرفی نشوند و هرچه کمتر او را ببینند.	نوأ أزأ کلايدٚ شنأسنئه بۊبؤن و هر چي کمته اۊنٚ بئينٚن	Eastern Gilaki	Lahijan	Vrg	AS	
it would be nice having a husband who didn't think me a silly fool and expect me to tell lies and	من هم خوشحال میشم شوهری داشته باشم که فکر نکنه من زن احمقی هستم و انتظار داشته با شه که بهش دروغ به گم و	مۊ ني خوشحال بٚنٚم یته مردأک بدأشته بؤم گه خۊ امره ندأری گه مۊ دألٚ زنأک ایسم و رأفا بٚدأشته بي مۊ اۊنٚ دۊرؤ بۊگؤم	Eastern Gilaki	Lahijan	Vrg	AS	
I hope things will go happily with her.	امیدوارم که همه چیز با خوشی و خوشبختی برایش همراه باشد.	یاسه‌مٚند‌ ایسم گه همه چي خؤشي و خؤشوقتي امره اۊنٚ وأسي ببي	Eastern Gilaki	Lahijan	Vrg	AS	
her father's fury broke over her in a terrible storm.	توفان سهمگین خشم شاهزاده پیر بر وی وزیدن گرفت.	سأمناک تۊفؤنٚ پیر کیازا ورأخۊتٚن اۊنٚ بٚگنسه	Eastern Gilaki	Lahijan	Vrg	AS	
he neither supplicated nor exclaimed.	چنان متوحش شده بود که نه قوه التماس و نه حالت فریاد داشت.	چۊره تۊرأبؤبۊ گه نه زهار و نه التماسٚ زۊرٚ دأشت	Eastern Gilaki	Lahijan	Vrg	AS	
I leaned motionlessly against the counter, trying to control myself.	بی هیچ حرکتی جلوی پیشخوان تکیه دادم و سعی کردم خودم را کنترل کنم.	هیچ جۊر جۊم خۊردنٚ امره پیشخؤنٚ دفرأشتٚم و أغسأی بؤدٚم مئا بدأرم	Eastern Gilaki	Lahijan	Vrg	AS	
placing his hand on the young man's shoulder.	در حالی که دست بر شانه مو رل نهاد	خۊ دٚس مورلٚ کۊل سٚر بنأ دبۊ	Eastern Gilaki	Lahijan	Vrg	AS	
I have to sit there and pretend to be a good employee.	مجبورم اونجا بشینم و وانمود کنم کارمند خوبی هستم	زۊر مي سر نأبۊ گه ائره بٚنيشٚم و وأنمأ بکۊنٚم گه خۊرۊم کارمند ایسم	Eastern Gilaki	Lahijan	Vrg	AS	
to see a man of apparently sound sense	وقتی دیدند که مردی از چنین عقل سالمی برخوردار است	اۊ زٚمٚت گه بدئن یته مردأک اي جۊر سالمٚ ویئرٚ جي برخوردار ایسه	Eastern Gilaki	Lahijan	Vrg	AS	
looked down at the tray of bright green trees.	سرش را روی سینی درختان صنویر سبز روشن خم کرد.	خۊ سرٚ صنؤبر دارؤن سبزٚ نيل سٚر بنأ	Eastern Gilaki	Lahijan	Vrg	AS	
she felt sorry for him, and her faith in the innocence of her friend began to totter.	دلش به حل او سوخت و ایمانش به بی گناهی دوستش متزلزل شد.	اینٚ ديل اۊنٚ وأسي بٚسۊته و دئه خۊ‌ ریفقٚ بي‌ونأه بؤنٚ سر رأس ندأشت	Eastern Gilaki	Lahijan	Vrg	AS	
for a moment, it felt as though everything was back to normal between them	یک آن هری گمان کرد روآبطشآن به حالت عادی برگشته است.	يه دوأ هري بدأشته گه ايشؤنٚ رابطه خۊ چٚم سٚر وٚگرسه	Eastern Gilaki	Lahijan	Vrg	AS	
it is more than fraternization, it is equivalent to addressing each other as thou.	اینجا از برادری گذشته و به یگانگی رسیده است.	ائره براري جي دوأرسه و به یکتايي برسئن	Eastern Gilaki	Lahijan	Vrg	AS	
calling a sailor of the watch, he sent him below for his ivory stool, and also his pipe.	یکی از ملاحان نگهبان را صدا کرد و او را دنبال سه پایه عاج و پیپ خود فرستاد.	یته مالائؤن جي پاسپا ئه دۊخؤنده و اۊنٚ خۊ کتل و پیپ دۊمبأل سرأدأ	Eastern Gilaki	Lahijan	Vrg	AS	
when he noticed that the army had set up machine gun emplacements around the small square	زمانی که متوجه شد ارتش شروع به نصب آتشبارهایی در اطراف میدان کوچک شهر کرده است	اۊ زٚمٚت گه بفهمسه ارتش، توپخؤنه وانشأستٚنٚ شهرٚ کۊشتاي ميدؤن مئن سرأگیته	Eastern Gilaki	Lahijan	Vrg	AS	
