en_sentence	fa_sentence	translation	variety (Hawraman Takht|Lhon|Jawaru)	county	orthography	translator	7794
he woke up in a fright, calling for a blanket.	ناگهان با ترس و لرز از خواب پریده یک پتو خواست.	پەرێوەنە بە تەرس و لەرزو جە وەرمەنە هۆرستۆ و و بەتانیوەش دا وێشەرە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but nothing else, she feared, would cure her.	اِما نگران بود که دیگر هیچ چیز نتواند درد هریت را درمان کند.	بەڵام تەرسێ چانەیە کە ئێتر کەس نەبێ دەردەو ئایی دەرمان کەرۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
arrange with his servants not to take him back that day	کاری کند که نوکرانش او را یک امروز با خود نبرند	کاریو کەرو کە خزمەتکاریکێ ئیتر ئایی نەبەرا چەنی وێشا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
suddenly four men burst up from the forecastle, saying they were ready to turn to.	ناگهان چهار نفر از عرشه زیری بالا دویدند و گفتند حاضرند تسلیم شوند.	پەرێوەنە چوار کەسێ وارو ئامێ سەر کە واتشا ئێمە حازرێنمێ کە ویما تەسلیم کەرمێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
pressed them all to go in and drink tea with him.	به همه اصرار کرد وارد خانه بشوند با پدرش چای بخورند.	دواش ئۆ گەردی کەرد تا بلا دلی یانەکەیو چەنی تاتێش نان وەرا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I ambled along at a slow walk.	من به آرامی و با قدهای آهسته وارد اتاق شدم.	من بە سەرو ویو و بە هەنگامێ گلونی لوانی چووەر	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
he wor a'most stark when your brother went into t' chamber and fand him.	وقتی برادرتون رفت توی اطاق به اون سر بز نه تقریباً تم وم کرده بود.	کاتێو کە براکەتا لوا چوەر سەرەش دۆ وەنە ئیتر تەمامیابێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
one has need of experience and discernment to distinguish these two kinds of gentlemen	برای تشخیص خوب و بد این دو نوع پهلوان که هر دو عنوان واحدی دارند	پێ جیا کەرەوەی خاسە و خەراپە و ئی دوە پاڵەوانەیە کە هەردوو پەسو یۆیەنێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
he dabbed on cologne and waxed the ends of his white mustache	به خود عطر زد و نوک سبیل سفیدش را چرب کرد.	بوەی وەشەش داوە وێش و نوکو سمێڵاش چەرب کەرد	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I provided the best substitute I could by dreaming of dragons until morning.	خودم تلافی کردم و تا صبح خواب اژدها دیدم.	حەقەم کەردۆ و تا ساعبێ وەرمۆ ئەژدیهایم دی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
my own father was a sublieutenant in the army.	پدرم پس از اتمام آموزشگاه نظام با درجهٔ ستوانی در ارتش خدمت کرده است.	تاتەم دماو تەمام کەردەوەی مەکتەبۆ عەسکەری بە پەلەو عەریفی سوپانە خەزمەتش کەردەبێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I would much rather take a chair at any time.	به نظر من که صندلی دست گرفتن شرف دارد به چتر دست گرفتن.	بە ڕاو من کورسی گێرتەی هەرمانەوە شریفتەرەنە جە چەتر گێرتەی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but I did not observe the air to be much colder, or the sky more darkened, than if I had stood under the shade of a mountain.	اما دیدم که سردی هوا و تیرگی فضا بیش از آن نیست که بتوان در سایه کوهی حس کرد.	بەلام دێم کە سەردا و هەوای و تاریکی جەوی فەرەتەر نیا چانەیە کە تاوی سیاوەتی کەژەکەی هەست پەنە کەری	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
moreover he had now the means of adopting any disguise he thought proper	به علاوه اکنون تمام وسایل را از برای تبدیل صورت و هیئت خود به قسمی که احدی او را نتواند بشناسد در قبضه اقتدار داشت	جگە چانەیە ئیسە گەرد و کەلو پەلەکا پێ فاراوە کە وێش بە خاسش مەزانۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
not because she felt alone, which in fact she was	نه به خاطر این که تنها سر میز نشسته بود	وەرو ئانەی نا کە تەنیا سەرو مێزەکێو نیشتەنەرە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
presently the people began to gather for the morning sermon.	بلافاصله مردم از همه طرف به جانب کلیسا آمدند تا در مراسم نماز صبح شرکت کنند.	پەرێوەنە خەلکەکە گەرد لایوە ئامێ پێ دلێ کلیسیکێو وەرو ئانەیە پێ نمای ساعبێ بەشداری با	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but with much more advantage to the captain	اما بیش از آنچه ناخدا در حق خود گفته بود به نفع وی سخن گفت	بەڵام زیاتەر چانەیە کە کەشتیوانەکە داواو حەقەو وێش کەردەبێ فەرەتەر جە بەرژەوەندی ئایی قسێش کەردە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
it's our fault he's here in the first place.	هر چی با شه تقصیر ماست که اون این جاست.	هەرچی بۆ خەتاو ئێمەنە کە ئای ئینا چێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I watched the grace of his advance, absorbing it with my new eyes.	من وقار پیش رفتنش را تماشا کردم. با چشمان جدیدم تمامش را جذب کردم.	من خاسەو وەڵێ کۆتەو ئاییم دی و بە چەمە تازەکام تەماشەم کەرد	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
proceeding to cast out even articles of apparel that were imperative necessaries.	به بیرون ریختن اشیایی پرداخت که مورد لزوم حتمی بودند.	کۆت فەرەداو ئا کەلو پەلا کە پێویست نەبێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I realised in myself the same desire as animated him.	منهم در خود همان علاقه را یافتم که او را به حرکت آورده بود.	منیچ وێمەنە ئا پەیوەندیەمە ئێستۆ کە ئایش وەستەبێ جووڵە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
you will only have to look at night	فقط چون شب در رسید به تاریکی نگاه کنید	تەنیا بەشو بییەی شەوێرە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
yielding in time a grateful harvest of good.	در وقت خود محصولی فراوان و خوب به دست دهد.	کات وێش یاوۆنە بەرهەمیوی عالش بۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I found myself suddenly awaked with a violent pull upon the ring	ناگهان بر اثر نکاتی شدید که از برگرفتن آن پدید آمد از خواب برخاستم	پەرێوەنە بە هۆو چەن خاڵیوی قورسیۆ کە توش بیەبی وەرمەنە هۆرێستانی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I have heard him tell of it many times, and he got three dollars a week, at first.	خودش بارها به من گفته است و اولین حقوقش سه دلار در هفته بود.	وێش چەن جاریو پەنەش واتەنا کە مانگانە چەن وەرگێرۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but when she saw his legs she laughed out loud.	اما زمانی که به پاهای او رسید به صدای بلند خندید.	بەڵام کاتێو یاوا بە قاچەکاو ئایی بە دەنگیوی بەرزۆ خووا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
she paused in semi mock modesty as did the others.	او نیز مانند دیگران با تواضعی ساختگی از سخن گفتن باز ایستاد.	ئایچ پەسەو ئەویشا بە ئسلوبێو کە وەشش کەردەبێ پەسو ئەویشا جە قەسە کەرەی مەدرا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
which was circled a number of divans and chairs.	چند مبل و صندلی به صورت نیم دایره گذاشته بودند.	چەن قەنەفە و کورسیوێش ڕیز کەردێبێنێ پەسەو بازنێوی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
saying he was wanted at the counting house.	به این بهانه که در دفتر خود کاری واجب دارد.	پا بەهانە کە دەلێ نوسینگەکێشەنە هەرمانەوەی واجەبەش هەنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
not for a pack of idle, thieving human beings.	به نفع مشتی آدم بیکاره و دزد صفت نیست.	نەک پێ بەرژەوەندی بەعزێو کەسی بێ هەرمان و دز	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I'll get picked up for indecent exposure.	الان پلیس به خاطر کشف عورت دستگیرم می کنه.	ئیسە پۆلیس بۆنەو ویرووت کەردەیمۆ گێرۆنەم	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
he still looked pale, but he was no longer gory and sullied.	هنوز رنگ بر چهره نداشت اما حالا دیگر خون آلود و کثیف نبود.	هێشتا ڕەنگەش پەرێبێ بەڵام وناڵین و پیس نەبێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
then vibrated thrice a cry on my startled ear, and in my quaking heart and through my spirit, which neither feared nor shook,	بعد با گوش کنجکاو و قلب پرتپش خود از اعماق روحم سه بار فریادی را شنیدم که نه مرا ترساند و نه از شنیدن آن برخود لرزیدم بلکه حس کردم برایم شعف آورست.	دماوە بە گۆشە عەجولەکاش دڵە پەر تەپەتەپەکێش دەلی قوڵای ڕۆحیمەنە یەرێ جار هاوارێوم ئەژنی کە نە تەرسنانیش نە لەرزنانیش بەڵکو هجێ شیفام پێ مارۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
as if some lovely rose had blossomed for her eyes only	گویی گل رز زیبایی فقط در برابر دیدگان او شکفته باشد	هجو گوڵالە سورێ تەنیا وەرو دییەو و ئایی کەریۆوە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
proposed that he should ride with him along the line.	به وی پیشنهاد کرد که همراه وی به خط جبهه برود.	پێنیارە کەرد پایی کە چەنی ئایی بلو پێ خەتەو جەنگی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
they left him untouched	بی آن که به او دست بزنند رهایش کردند	بێ ئانەیە کە دەسش تەلنۆ پۆ ڕزگارش کەرد	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
you'll do more for him than you would for someone else	بین او دیگران فرق میذارید و ممکنه خیلی کارها برایش انجام بدید.	بێن و ئایی و ئایشا فەرق وەزی و ڕەنگا فەرەو هەرماناش پێ کەرۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but a very noble way of erasing the past.	حرکتی بود بسیار شرافتمندانه تا گذشته را محو کند.	جولێو بی فەرە شەریفانە تا قەیمی گەم کەرۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
unless indeed it be that, as he has many enemies who are enchanters	مگر اینکه چون آن پهلوان در میان جادوگران دشمنان بی شماری دارد	مەگەر ئانەی کە ئا پاڵەوانە دەلێ ساحیرەکانە دوژمەنی فەرەش هەنێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
she'd have thought it vaguely wicked sort of decadent and foreign and aristocratic to keep later hours.	به نظرش دیر خوابیدن نوعی زندگی اشرافی و بیهوده تلف کردن وقت بود.	بە ڕاو ئایی دێر وەتەی جۆرێو جە ژیانو گورەکەکا کات کۆشتەی بێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
whereupon the huge creature trod short.	به شنیدن فریاد من آن موجود غول آسا گامی کوتاه برداشت.	بە ئەژنیەو من ئا ئەژدیها گۆرە هەنگامێگلونێ نیا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
such a distinguishing compliment as she chose to consider it.	حتی ترجیح داد این دعوت را حمل بر تشخص خودش بکند.	تەنانەت چاسەش نیارە کە ئی چەریەیە پێ وەرگێرتەو دیاری کەردەو وێش بی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
she had stepped into the garden, with the impulse to go at once to her husband.	به باغ آمده بود تا دردم نزد شوهرش برود.	ئامێ بێ دەلێ یاخەکەی وەرو ئانەیە یەکسەر بلو پێ لا پیاکێش	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
showed a countenance of abject terror	وحشتش را بروز داد و بالمره خود را باخت.	ڕوەوەی تەرسناکەش نیشانە دا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I can drill a dime at fifty yards.	من می تونم یک سکه رو از پنجاه یاردی بزنم.	من تاو دەو سەکێوی کە پەنجا یاردێ دور بۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
that's what I've been leading up to.	برای همین منظور بود که شروع به سخن گفتن کردم.	وەرو ئانەیە بێ کە دەسم کەرد بە قەسە کەردەی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
it now unanimously and unconsciously yielded to weariness and at eleven thirty, broke up.	امشب همگی بی آنکه خود متوجه باشند از فرط خستگی از پا درآمدند و ساعت یازده و نیم متفرق شدند.	ئێشەو گەرد بێ ئانەیە ئاگاشا چەنە بۆنە جە تاو مانیایەنە جە پێ کۆتێبێنی و یانزەو نیم بەڵاوێ بیێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
who is as mighty and strong as if made of brass	که زنی دلی است و همچنانکه تنش از مفرغ ساخته شده قوی و نیرومند است	پەسەنە ئانەیە کە جە مەسی وەشە کەرێبۆ بەقەوەتەنە بەقەوەت	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
however, I refused, with expressions of the highest acknowledgment.	اما من با کمال سپاسگزاری همه را رد کردم.	بەڵام من بە سەپاسەوە گەردم ڕاییی کەردێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
for if they have not been of the body they have been of the spirit	زحماتی که اگر جسم جنابعالی را خسته نکرده باشد قطعاً روح شما را فرسوده است	ئا زەحمەتە کە ئەگەر جەسمو بەرێویتام نەمانابۆ بە دڵنیایەوە ڕۆحو شەمەم ئەزیەت دان	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
when things went his way.	البته در حقیقت وقتایی که اوضاع بر وفق مرادش بود.	هەلووەو بەعزێو جاری وەزعەکە جە بەرژەوەندیش بی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
half in the table's shadow and half out.	نیمی از آن در سایه میز قر ارداشت و نیمه دیگر بیرون بود.	نیمەش کۆتەبێنە سەیەو مێزەکێو نیمێچش کۆتەبێ بەر	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but I must pray for the dead.	اما امروز جز طلب آمرزش و مغفرت برای مقتول چاره ندارم.	بەڵام ئارۆ جەگە جە داواو فێربیەی و چەنە وەش بیەی جە کوشیاکەی هیچی تەرم نەبی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
for that is the name of the rich damsel who has reduced me to misery	نام آن پری پیکر که مرا به این بدبختی انداخته است چنین است	نامێ ئا فریشتێ کە منش پێسە پەنە کەردەنا پێسەنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
so that I've been unable to send you anything all this time.	به این دلیل در تمام این مدت نتوانستم چیزی برایت بفرستم.	پا هۆکارۆ کە ئی ماوە دەرێژە نەتاوانم چێوێوت پێ کیانۆ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
stopping to unpack his bundle	در اینجا حرف خود را قطع کرد و به باز کردن بسته مشغول گردید	چێگەنە قەسەکێ وێش بریەو مەشغوڵۆ کەردەوە و بەستەکەی بێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I shattered a window in the back door with a brick	یک پنجره از در عقبی را با یک آجر شکستم	پەنجەرێوم تەکو بەرەکەو دمایۆ بە خەشتە مارا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
besides, there is good reason to show that it now wants but little of day.	از طرفی حدس اینکه از حالا تا صبح فاصله زیادی نیست خیلی راحت است.	جە لایو تەریچۆ کە ئیسە تا ساعبێ کاتیوی فەرەش نەمەنن خیالم ڕاحەت بی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I wouldn't have one in my house.	اصلا نمی تونم یک سیاه توی خو نهم بیارم.	هەرگیز مەتاوە سیاوێو باروە یانەکەم	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
understand or endure this sudden rift in their wonderful friendship.	نه توان درک این اتفاق ناگهانی را در این رفاقت دلنشین داشت و نه نای تحملش را.	نە تاوی ئەی قۆمیایەی وەرگێرۆ کە چا ڕەفێقایەتیەنە بیش و نە تاوێ تەحەمۆلش کەرۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but they kept their eyes upon my face from first to last.	همه آنان در حالی که چشم به من دوخته بودند از اول تا آخر برجای خود ماندند.	گەردو ئاێشا کە چا کاتەنە دیێنی مەنەرە ئەوەلۆ تا ئاخیر لا یاگێ وێشانە مەنێوە و نیشتێرە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
looked up gratefully to the speaker.	با چشمانی سرشار از سپاسگزاری به آقای کازوبن نگریست.	بە سوپاسەوە دیا پێ قەسەکەرەکەی	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
 than that they should be prisoned in a workhouse coffin and moulder in a pauper's grave.	تا این که آن را در تابوت مخصوص گداخانه محبوس کنند و در قبرستان گدایان به خاک بسپارند.	تا ئانەی کە ئایشا دەلێ جەنازەکەیەنە شاردۆ وقەبرسانە و سواڵکەرەکانە نیاشا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
you empty her locker and split.	صندوقش را باز کنی و آنچه را که در آن است برداری.	سنۆقەکەی کەریۆ و هەرچیش چەنەن وەرشگێری	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
then, in the space of three seconds and a half, everything had changed	بعد ناگه طی سه ثانیه و نیم همه چیز تغییر کرد	ئیتر دماو سەرێ شانیە و نیمی گەرژێو فاریا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
for her mind was busy planning.	چون در ذهنش تمام مدت مشغول برنامه ریزی و طرح نقشه فرار بود.	وەرو ئانەیە بە درێژی کاتەکەی خەریکو برنامە نیارەی بێ و پلانەش بێ پێ سەوای	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
had been sleeping for several months in its bed of manure.	چندین ماه بود در گوشه و کنار آنجا روی بستری از شوره افتاده و مانده بودند.	چەن مانگێو بی کە کۆتەبێنە یاگێ و سوچێوەنە جە زقی کۆتەبێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
the clouds, now trooping before the wind, were filing off eastward in long, silvered columns.	ابرها حالا در برابر باد به صورت صفوف دراز سیمفام در سمت مشرق متراکم شده بودند.	هۆرەکی وەرانوەرو واکاوە مەدرێبێنێ بە ڕێکی و برەرزی بەرەو ڕوژهەڵاتی لۆوێنێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
you are aware from whom I come at least so my cashier tells me	آری از قراری که صندوقدارم گفت از جانب تومسون و فرانش	تو مەزانی من ژکۆوە ئامانا پۆکەی ڕەنگە پەنەم واچی حسابدارەکە چکۆن	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
beside me she had seemed tall and gaunt, but she looked shrunken now in size, more wizened	حتی به نظرم آمد که پشتش از شدت اندوه اندکی خم شده و روی هم رفته در هم شکسته شده بود.	تەنانەت پاسە ئاما خەیاڵم کە مازیش بە هۆو خەم و بێتاقەتیۆ کۆمیانۆ و لوانۆ سەرۆ یویی و مەریان	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
as if it would be unreasonable to suppose anything else of him.	گویی چیزی خلاف آن از او انتظار داشتن عجیب بود.	هجێ چێویو جە دژو ئایشا وەنە گەرەک بیەن	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I would give a great deal for doubt to be still possible.	من حاضر بودم خیلی چیزها بدهم تا هنوز در شک و تردید باشم.	من ئامادە بێنا کە چیوێ فەرە دەو وەرو ئانەیە جە گومانەنە بێنا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I have no idea that you will suppose her talents can be unknown.	مطمئناً دیگر فکر نخواهید کرد که استعدادهایش ناشناخته خواهد ماند.	دڵنیانا کە ئیتر ویرێ مەکەرمێ کە تواناکێش نەژناسیاوە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
she found herself well matched in a partner.	به اِما خیلی خوش بگذرد و هم رقصش را هم ماهر بیابد.	ئای وێشش پەسەو شەریکیوی خاسی نیارە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but when she came and he realised that he had gone out of her thoughts entirely	اما چون وی آمد دریافت که از فکرش به کلی رفته است.	بەڵام وەرو ئانەیە کە ئای ئاما بە تەمامی جە ویرو وێشش بەردەنۆ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
came in and stole a kiss from her while she was busy	داخل اتاق شد و سلامی مهرآمیز به او داد	ئاما دەلێ ژورەکەیو و سەڵامیوی میهرەبانانەش کەرد	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
then sharp and short and dry	در چنین مواقعی نیز جوابش بسیار موجز و مختصر و خشک بود	چی حالەتەنە جوابەکەش فەرە ئیزعاجانە و کوڵ و ووشک بێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
he swung round with a deep flush	برگشت و در حالی که از خشم برافروخته بود	گێڵاوە و کاتێوەنە کە فەرە تۆرە بیێەبێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
for us only the cuffs and lamp whacks	برای ما بجز ضربات مشت و چراغ چیزی نیاورد.	پێ ئێمە جگە جە داوەنە بە بۆگەزێ و چەراوە هیچی تەرش نارد	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
swallowed with difficulty because his throat was dry.	آب دهان را به سختی از گلوی خشک خود فرو داد.	ئاوە و دەمێش بە سەختی قۆتە داوە دەلێ گوڵوە وشکەکێشەنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
the cossacks,troubled by the unusual word comrade	قزاقان از این خطاب غیر عادی به تعجب افتاده	قەزاقەکێ چەنی ئی قسێ واقشا وەرمەنە بێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I tell you to cool it down.	من به تو می گم بگذار سرد به شه.	من بە تو واچوو بازە بە سەرد بۆوە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
while every minute you are here is worth a hundred thousand guineas to my darling	چون هر دقیقه تو اینجا باشی برای عزیز من صد هزار سکه طلا ارزش دارد.	وەرو ئانەیە هەر دەقێو تۆ پێ من چێگە بی پەسەنە سەو هەزار سەکی ئاڵتونشا دابونە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
who had hidden so many things in this life that there was almost nothing left for them to say to each other.	زوجی که آن قدر همه چیز را از نظر هم مخفی نگاه داشته بودند که دیگر برایشان حرفی باقی نمانده بود تا به هم بزنند.	ژن و پێوو کە ئەنەشا چێو جە یەکتری شاردەبێوە کە هیشا نەمەنەبی چەنی یۆی باسش کەرانە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
he stood at attention when the officer arrived, but at a sign resumed his measured, monotonous pacing.	خبردار بایستد اما با اشاره دست او دوباره به حرکت آرام و یکنواخت خود ادامه داد.	بە ئامادەباشی مدری و دماتەر بە جولەو دەسو ئایی بە نەرمی و هێواشی و بە ڕێز کۆت ڕا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
she watched the bottle clandestinely.	خاله جان بطری دوا را دزدکی تحت نظر گرفته بود.	ئای بە دزیەوە تەماشە و شوشەکێ کەرێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
meaning to breakfast, but succeeded in nothing but in sitting and shivering by the fire.	اما نتوانست صبحانه بخورد در کنار بخاری نشست و لرز کرد.	بەلام نەتاواش نانو ساعبێ وەرو پاڵ و سۆبەکەیەنە نیشتەرە و لەرزا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
an unreasoning hurry and alarm overcame them.	شتاب و اضطراب بی جهت بر قشون چیره شد	پەلە کەردە و بە ئاگابیەی بێ مانا سەیتەرەش کەرد مەلشارە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
did not insert or name in it a certain lady of whom it was questionable whether she was one or not.	نام یکی از ایشان را که به حقی بت معلوم نبود روس بی است یا نه از قلم انداخت.	خانەمەوەی دیاریکەراوە نامێ ئایش کە بە نادیاری مەنێبێوە، بیە یاگی پرسیارێ کە ئایە بیە یان نا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
I've explained why I said that.	من که توضیح دادم دلیل اون دروغم چی بود.	من کەباسم کەرد چی دروێم دا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
nothing around them seemed changed	هیچ چیز در حول حوش آنان تغییر نکرده بود.	هیچ چێوێ چواردەورشانە نەفاریابێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
while he gazed at her wonderingabout the outcome of all this.	در همین حال کلاید به او خیره شده و حیران بود که عاقبت این کار به کجا خواهد کشید.	چا کەتەنە کە وەرە بێبێ پایەرە پرسیارە کەرێ جە ئەنجام و ئا چێوا	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but it must be confessed that before he reached home he had taken his resolution.	اما باید اعتراف کرد پیش از رسیدن به خانه تصمیمش را گرفته بود.	بەڵام بەشو دانش بنیەو پۆرە کە وەڵێ ئانەیە یاوەوە یانە بریارو وێشش دان	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
turn out the light when you come back to bed	هر وقت اومدی توی رختخواب چراغ را هم خاموش کن	کاتێو ئامایەنە یاگێ چراوەکێچ کوشنۆ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
even then the whipcord breeches weren't altogether out of my mind.	حتی آن لحظه هم از شلوار نظامیم غافل نبودم.	تەنانەت ئا کلتێچە جەلە عەسکەریەکێم وەرەنە بێنێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
so that he would help him start the total war.	تا جهت آغاز یک جنگ تمام عیار از او یاری بطلبد.	وەرو ئانەیە پێ جەنگیوی تەمامی داواو یارمەتیش وەنە کەرۆ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
his voice even sadder than I remembered.	صدایش از چیزی که به خاطر دارم غمگین تر است.	دەنگش جە چیوێوی کە ئینا ویرمەنە غەمگینتەر بێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
knows that the enemy is pushing a mine towards the post where he is stationed	آنگاه به گوش خود بشنود که دشمن مشغول حفر نقبی بط رف پاسگاه او است	ئا کاتە بە گۆشۆ وێش مشنەوۆ کە دوژمنەکێ خەریکۆ پاڵنیایا پێ ئا یاگێ جەنەش گیرسیانۆ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
but on moving towards the whist tables	اما هنگامی که به سمت میزهای ویست به راه افتاد	بەڵام کاتێو لوا ڕووەو مێزیکاوە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
hoped, in a short time, I should be able to tell him wonders.	امیدوارم که در مدتی کوتاه بتوانم با او از عجایب و غرایب جهان سخن گویم	هیوایارەنا کە تاوو ماوێوی کۆڵەنە چەنی ئایی باسو چێوە سەیر و سەمەرەکا جیهانی کەرۆنە	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
in order that there might be no misunderstanding or painful sense of doubt and mystery between them.	برای اینکه هیچ گونه سوءتفاهم یا احساس ناراحت کننده شک و پرده پوشی میانشان به وجود نیاید.	وەرو ئانەیە هی سوتفێو و سەهوەوە یان هەست بە نارەحەتێو و گومانەوە بینشانە ڕوە نەیۆ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
in law the change in her plans in a tone that suggested that she had to remember so many things that there was no enumerating them	این تغییر برنامه را طوری توضیح داد که گویا غفلتاً مسائل فراوانی را به یاد آورده که قبلاً به فکر آنها نبوده و حضور وی در پتزبورگ ضرورت دارد.	فاراو بەرنامەکێش کارێو باس کەرد کە بەعزیو بابەتێش وێرێ شێبێنێ، ویرێش کۆتێ کە وەڵتەر وێرێش نەبێنێ و ئامای ئای پێ ئاگەیە زەرور بێ	Lhon	Tawella / Sosakan	Hawrami_var_1	SNH	
