Em diçin!	We're going!
Ser seran kaptan.	Head over to the captain.
Kanî Kimîl?	Kani Kimil?
Ev tê ber vî rûpelê zer yê çarem.	This is the fourth yellow page.
Tu xweş razayî?	Did you sleep well?
Divê em bi xwe li tiştekî bifikirin.	We have to think about something ourselves.
Çiravk… Çirçirk… Aha.. Çîrokên berî razanê!	Twinkle... Twinkle... Aha.. Bedtime stories!
Nivîskara vê pirtûkê…	The author of this book...
Mişkên dikanê! We tiştekî pir xerab kir!	Shop mice! You did something very bad!
Ne ev der bû?	Wasn't this the place?
Nexwe… ez ji te ra pirtûkekê bixwînim.	Well, let me read you a book.
Penguen ji bo ku çêlîkên xwe germ bikin, wan nêzîkî xwe dikin.	Penguins hold their chicks close to them to keep them warm.
Qedîya.	It's over.
Tu pir nêzîk î!	You are very close!
Ook-Ook! Eek-Eek!	Ook-Ook! Eek-Eek!
Lê te soza pastayê da.	But you promised pasta.
Portreyekê şah yê bi dansê şirovekirî.	A royal portrait interpreted with dance.
(helkehelk) Pug, li min bibore. Min îro pir xwast ku macerayeka biheyecan bijîm û min kir ku tu çaran bijî!	(hellkehelk) Pug, I'm sorry. I really wanted to live an exciting adventure today and I made you four live!
Dema ku hevalê min Şerlok ew nepenîya herî dijwar çareser kir, min dît ku ew gelekî kêfxweş bû.	When my friend Sherlock solved the most difficult mystery, I saw that he was very happy.
Ez Çêlekê wekî şampîyona pêşbirka Qevastina Bilind îlan dikim. Wê bi bilindahîya dused û pêncî hezar mîlî rekora dinyayê şikand!	I declare Çelek as the champion of the High Qualifying competition. She broke the world record at a height of two hundred and fifty thousand miles!
Ya soxîn – sîxur tune ne. Lê seyran hene, ne wisa?	There are no spies. But there are attractions, aren't they?
Hûn her du xwişk û bira ne!!?	Are you two siblings!!?
Ew di vê derê ra çû.	He went to this place.
Ev her du seg li keştîya te siwar bûne, Kaptana Bêrih.	These two dogs have boarded your ship, Captain Beard.
Hii hii! Aaaah!	Hi hi! Aaaah!
Em dê niha aferîdeyên herî kêmpeyda yên şevê bibînin.	We will now see the rarest creatures of the night.
Na!	Are you here!
Li vir deng pir in, Pug.	Lots of noise here, Pug.
Ez dibêjim qey te ji vê pirtûkê pir hez kir!	I think you really liked this book!
Ew pirseka baş e… ez hêvî dikim ku di çapa nû ya pirtûka xwe da bibersivînim.	That's a good question...I hope to answer it in the new edition of my book.
Û bi wî awayî Splendîna dîsa bû Splendînaya Gewre	And that's how Splendina became Giant Splendina again
Tu qala serhildanê dikî?	Are you talking about rebellion?
Lê divê portreyek bike ku tu baş xuya bikî, Seg.	But a portrait should make you look good, Seg.
Axx! Ev lîstik pir rasteqîn e.	Ahhh! This game is very realistic.
Her bijîn û siheta we xweş, Seg û Pug! We bi tiştanokên min derxistin. Îcar ez dikarim wî parçeyê pazilê yê nehs bibim cihê wî.	Long live and good health, Seg and Pug! You took my things away. Now I can take that nasty piece of paper to its place.
Siheta te xweş, Pug.	Good health, Pug.
Me biryar da ku em wê jê ra bibin.	We decided to remove it.
Pug, destmala ku te pê baweşîn li şorbeyê dikir li ba te ye?	Pug, do you have the towel you used to wash the soup with?
Ma şopandin ne kevneşopîyeka segan bû?	Wasn't tracking a dog tradition?
Ev der pir kevn e.	This place is very old.
Ew çi ye, Pug?	What is it, Pug?
Bistînin û berdin. Bistînin û berdin.	Receive and release. Receive and release.
Li vê ecêbê! Nexwe divê tu dengekê pir zirav derxî, weha bike… (dengê zirav) Silav, ez keçikeka delal im, ez ne zilam im, lê rih û simbêlên min hene. WEY! Binêre, pisîkek.	In this wonder! Otherwise you have to make a very thin voice, do it like this... (thin voice) Hello, I'm a cute girl, I'm not a man, but I have a beard and symbols. WOW! Look, a cat.
Bi tenê ta bişopînin!	Just follow the ta!
Ji wan lavayan ez tê derdixim ku em hatine nêzî navenda…	From those pleas, I conclude that we have come close to the center...
Ooo pir balkêş e.	Ooo very interesting.
Nava qalikên wan ji bo wan ewle ye, qalika berûyê jî ji bo me ewle bû.	The inside of their shells is safe for them, and the outer shell was safe for us.
Xeman nexwe. Dibe ku li pirtûkxaneyê pirtûkek hebe ku kêmasîya zirnezîqa te nîşan bide.	Don't worry. There may be a book in the library that shows your lack of intelligence.
Wêrek be… netirse…	Be brave... don't be afraid...
Himmm. Nexwe em li tiştekê din bifikirin.	Hmmm. Let's think about something else.
Wekî wê pira di pirtûkê da divê ev zirnezîq jî were qewînkirin. Îcar kî dixwaze alî min bike?	Just like the bridge in the book, this trick should be done. So who wants to help me?
Spas dikim. Tu qet ne cinawirekê tirsnak î.	Thank you. You are not a scary monster at all.
Em dê alî te bikin. Ez qet li morîyekê siwar nebûme.	We will help you. I have never ridden a snake.
Lê ji kerema xwe min zû xelas bike! Ez seg im, ne çivîk im!	But please save me soon! I am a dog, not a bird!
Sîxurên çi? Qesra çi? seyran bê xwedî ye?	What spies? What palace? Is the tour without owner?
Û di rê da em ji xwe ra çend sandwîçan bixwin.	And on the way we ate some sandwiches.
Lingên min diqerimin, Seg!	My legs are cramping, Seg!
Em wêneyekî bigirin.	Let's take a picture.
Di nav bêdengî…	In silence...
Çavên xwe bigirin û bêhneka kûr… bistînin û berdin.	Close your eyes and take a deep breath... and release.
Ka ez dê portreyekê te çêbikim û wî karî nîşanî te bidim.	I will make a portrait of you and show you the work.
Sandwîça sicûqên berazan.	Pork belly sandwich.
Segmar. Segmar.	Segmar. Segmar.
Siwarbûna li Pug!	Riding the Pug!
Niha gelek hene. Divê ez wan bihejmêrim! Em dê bi dû ra hev bibînin, xortino!	There are many now. I have to count them! See you later guys!
Ev wêneyê dawî ye. Xerab e, ne?	This is the last picture. It's bad, isn't it?
bi kêr tê. … Te ew baş ewiqandin, Pug.	it is useful. … You got it right, Pug.
E-erê.	Yes
Zû ji ser wî dilî werin xwarê! Hûn çi mişkên mizawir in!	Get over that heart soon! What kind of rats you are!
Waa? Tu dikarî bixwînî?	Wow? can you read
Plana min bi kêr nehat, Seg.	My plan didn't work, Seg.
Dapîrên wekî min maceraperest jî carinan ji bo aramîyê pêdivî bi cihekê taybet dibînin.	Adventurous grandmothers like me sometimes need a special place for peace.
Aaaa! (helkehelk)	Aaah! (hell)
(kenîn) Ji ber ku li gor salnameya segan ewqas salên te hene! De pif bike findan.	(laughter) Because according to the dog calendar you have so many years! Blow the whistle.
(bêhnkirin) Bêhna nepenîyekê tê. Tu li ber sifreyê be, ez xwedîyên wê bînim.	(to smell) It smells like a mystery. You are at the table, I will bring the ingredients.
Tu baş î, Pug?	Are you okay, Pug?
Ev hefteyekê têra min dike.	This is enough for me for a week.
Waa? Ez çawa alî we bikim?	Wow? How can I help you?
Weyla! Ev hêka ejdehayan e!	Wow! This is the dragon's egg!
De bibezin! Bibezin!	Run away! Run!
Ez baş dizanim ku pisîk dê ji çîkolataya min ya bimasî hez bikin.	I know very well that cats will love my fishy chocolate.
Ji ber ku min hîn dest bi xêzkirinê nekirîye.	Because I haven't started drawing yet.
Bigire û berde. Bigire û berde.	Take it and release it. Take it and release it.
Pirtûkeka li ser şewqeyan heye?	Is there a book on the lights?
Segê reben.	Reben's dog.
Masî… masî… masî… masî… Tu!	Fish... fish... fish... fish... You!
Ev qirdikeka xemgîn e, Pug.	This is a sad little dog, Pug.
Dog, ez wê dizanim! Abrakadabra!	Dog, I know it! Abracadabra!
Dêw ji segên biçûk hez dikin?	Do giants love little dogs?
Min dengekê razmend bihîst.	I heard an intelligent voice.
Lê herî zêde û ji her tiştî bêhtir…	But most of all...
Roja me stêrek e?	Is our day a star?
Ev Kepçeya Mezin e. Ev jî Kepçeya Mezintir e. Û ev jî Kepçeya Biçûk e ku tiştekê nû nîşanî wan da.	This is the Big Bucket. This is the Bigger Bucket. And this is the Little Bucket that showed them something new.
Hûh! Xuya ye ku me ajelên hinekan aciz kirin.	Huh! Looks like we upset some eagles.
Eger wisa bûya, me êdî ew nedinivîsîn!	If that was the case, we wouldn't be writing it anymore!
Lê ez we tim çewt xêz dikim.	But I always draw you wrong.
Ji cihê ku min ya xwe jê anîn.	From where I got mine.
Min ne bawer e ew me vedixwîne ser sifreyê, xortino.	I'm not sure he's inviting us to the table, guys.
Ez jî werim bi we ra bixebitim?	Can I come to work with you?
Na, qet ne xem e, Pug. Ez dê bi banda bisêhr wî tamîr bikim. Ha ha!	No, never mind, Pug. I will fix it with the magic band. Ha ha!
Ji ber wê tu maskeya super-lehengan bi kar tînî, Pug?	Is that why you wear a superhero mask, Pug?
Û ez dibêjim qey sê alîkarên me jî dê hebin.	And I think we will have three assistants.
Ev bajarekê şevê ye, Seg.	This is a night city, Seg.
Lê berazên reben dê çi bikin? Ew dê bê xanî bimînin!	But what will the pigs do? They will be homeless!
Ez li vir im! (kenîn)	I'm here! (laughter)
Ez dê hemû pirtûkên li pirtûkxaneyê careka din bixwînim!	I will read all the books in the library again!
Betlane? Betlane? Ev demeka dirêj e ku ez neçûme…	Vacation? Vacation? It's been a long time since I've been...
Dîsa sihet xweş, Pug!	Cheers again, Pug!
Carinan ez dibêjim xwezî min bikarîya ev mişkên mizawir nebedî bikirina.	Sometimes I say I wish I could stop these talking rats.
Belê, ez li vir im!	Well, I'm here!
Gelo rojek dê were ku ez dê hînî tiştekê nû nebim?	Will there ever be a day when I won't learn something new?
Ooo, bêhna min fireh bû. (kenîn)	Ooo, I was out of breath. (laughter)
(pifkirin)	(wheezing)
Pug, alîkarî lazim e. Em herin!	Pug, help needed. Let's go!
Aha! Va hûn hatin!	Aha! Here you are!
Wisa dixuye ku ez ji alîyê pelên pirtûka xwe ve tên şopandin.	It seems that I am being followed by the pages of my book.
Min îro xwe wêrek kir û wêrekbûn ne hêsan e.	I took courage today and courage is not easy.
Em bûn cinawirên herîyê yên hişkbûyî. Ew toza ku Tînayê bi me da kir hîn di pozê min da ye.	We became monsters of dried mud. The dust that Tina gave us is still in my nose.
Navê min Sanço Panza ye û ev jî mîrê min Don Kîşot e. Ew şovalyeyekê pir esîl e.	My name is Sancho Panza and this is my master Don Quixote. He is a very noble knight.
Ez ji bêhna wan hez dikim.	I like their smell.
...ez ji pirtûkên ku tiştên nû hîn dikin hez dikim.	...I like books that teach new things.
Ev gelekî dişibe rastîyê!	This is very similar to the truth!
Wêrekî ji bo her kesî tê wateya tiştekê cuda, Seg.	Courage means something different to everyone, Seg.
Îcar divê ez nepenîya xwe çareser bikim. Pênûsa min ya şîn li ku ye?	Now I have to solve my mystery. Where is my blue pen?
Berî ku ez wê bipîvim min ew xwar.	I ate it before I measured it.
Ez hew dikarim xwe bigirim – Aaa	I can hold myself - Aaa
Bêhna wê ji ya elmasan xweştir e û ji ya zêran jî.	Its smell is better than that of diamonds and that of gold.
Çi? Ah. Erê. Tu min nas dikî, Seg. Ez yekî alîkarxwaz im. Ne ku bi tenê li ser kulÎmeka xwe dikevim.	What? Ah. Yes. You know me, Seg. I am a helper. Not to just fall on my hat.
Ji ber ku di vê serdemê da hîn balafir nehatibûn îcadkirin, Pug. Lê ev, ji bo stranekê demeka rast e!	Because airplanes had not been invented at this time, Pug. But this is the right time for a song!
We dizanî ku kevintirîn fenera deryayê ya ku dixebite berî niha bi du hezar salan hatîye lêkirin?	Did you know that the oldest working lighthouse was built two thousand years ago?
Silav Dapîra Pug.	Hello Grandma Pug.
Wisa gelekî baştir e.	That is much better.
Korsan Du Rihî!	Two Bearded Pirates!
Û fabrîkaya Bilî Barkir bû cihekê wisa ku ji bo seg û pisîkan her cure biskiwît tên çêkirin û ew heta hetayê bi biskiwîtî jîyan! Dawî.	And Bili Barkir's factory became a place where all kinds of biscuits are made for dogs and cats and they lived forever with biscuits! The end.
Rengê şîn ne li gor min bûye. Li vê binêre. Ta da!	The blue color did not suit me. Look at this. That's right!
Em li ku derê ne?	Where are we?
Hilm.	Breath.
De bidin dû min!	Follow me!
Û eger em xwarinê nebînin, em dê jî xelas bibin.	And if we don't find food, we will be saved.
Seg ji pirtûkan hez dike! Ihim!	Seg loves books! Oh!
Lê wê nîşan neda bê ez dê çawa ji bo birina vê loda pirtûkan makîneyekê çêbikim.	But she didn't show me how to make a machine to carry this load of books.
Pug dixwazin hin bersivan bigire.	Pug wants some answers.
Em krîketê bilîzin? De gidî, Canîs, gogê biavêje!	Shall we play cricket? Come on, Canis, throw the ball!
Ez robot im.	I am a robot.
Bi min Babûna Xewê pir westîyaye.	I am very tired of Sleepy Father.
Segstêrk pir êşîya, piştra hêrs bû û pir xemgîn bû.	Segstark was very hurt, then angry and very sad.
Hûn bi xêr hatine Roja Werzîşê ya Hey Zengil.	Welcome to Hey Ring Sports Day.
Li vê ecêbê!!!	In this wonder!!!
Offf. Xwezî ez ne mecbûrî vî karî bûma. Ez di wê taldeyê da disekinim û hişyarîyê didim kesên ku tên vir.	Oof. I wish I didn't have to do this. I stand in that talde and warn people who come here.
Oxweş! Rê nîşan bidin!	Hello! Show the way!
Babelîsk… Gîyanîsk… Aha! Rojnivîsk!	Babelisk... Gianisk... Aha! Diary!
Ha ji te ra vê…	How about this...
Tu baş î, Pug?	Are you okay, Pug?
Ooo oh Li vê ecêbê!	Ooo oh At this wonder!
Min ji me ra çaydanek çay çêkir.	I made a pot of tea for us.
Erê. Pir xweş e. Ji vî navî pê ve tu navê din li vê keştîyê nedihat.	Yes. A lot of fun. There was no other name for this ship.
Dema ku roja vekirina dikana pirtûkfiroşîyê hat, Segî serê xwe şuşt.	When the opening day of the bookstore came, Segi washed his head.
Em dîsa li cihê xwe vegerîyan!	We are back at our place!
…çawa dixebite.	...how it works.
Dîyar e ku ez zêde bi ber bayê derhênerîyê ketime.	It is clear that I have fallen too much into the direction of the wind.
Baş e.	All right.
Hii! E-ew çi ye?	Hey! What is it?
Hebû tune bû. Pênûseka bisêr hebû. Ew li cîhaneka kaxezeka vala û mezin dijîya.	There was no. There was a big pen. He lived in a big blank paper world.
Min deyne erdê!	Put me down!
Yûnîkornistan welatekê wisa ye ku bi keskesoran ronî dibe û hespên wê difirin.	Unicorn is a country that lights up with rainbows and its horses fly.
Di vê pirtûkê da zêde wêne tune ne, Seg.	There are not many pictures in this book, Seg.
Nexşeyê? Ez dikarin her tiştî bixwînim!	Map? I can read anything!
Mîrê Gustîlan … Derzîya Mêşan . Aha! Çêkirina Tiştan !	The Prince of Gustila... The Needle of the Flies. Aha! Making Things!
Bi kêfxweşî. Siwar bibin.	With pleasure. Get on board.
Tu dikarî ji kerema xwe simbêlên xwe bi deyn bidî min, Seg? Ji bo awayê lîstina te çend fikrên min hene.	Could you please lend me your symbols, Seg? I have some ideas for the way you play.
Çi? Lê…	What? But...
Alîkirina mirovan karê min e!	Helping people is my job!
Û her du korsanan, yanî korsanê Du Rihî û Korsana Bêrih bi hev ra bêrik kişandin.	And the two pirates, i.e. the Two-Bearded Pirate and the Beardless Pirate, fought each other.
Rast e! (kenîn)	Joint venture! (laughter)
Ez dê te bibînim!	I will see you!
Yaaa! Haaa! Oooh! Axx!	Yaaa! Haaa! Oooh! Ahhh!
Çi navekê xweş!	What a beautiful name!
Sêhrbazekê baş sêhra xwe ji kesî ra nabêje!	A good magician doesn't tell anyone about his magic!
Aaa! Ew nacemide.	Aaa! It doesn't freeze.
Gelo pirtûkeka ku ji te ra bibe alîkar dê hebe?	Is there a book that will help you?
Baş e, ez jî pir westîyam!	Well, I'm very tired too!
Pir baş e. Hemûyan bîne. De were Pug. Em herin ji macerayên din jî gazî hevalên xwe bikin.	In charge. Bring them all. Come on Pug. Let's go and call our friends from other adventures.
Lê ji bo tiştekê baş. Em dê dîyarîyekê bidinê. Vê sabûnê.	But for something good. We will give a gift. This soap.
Lê boyaxa min ya şîn pir kêm maye. Ji min ra şîn lazim e. Ez ji şîn pir hez dikim.	But I have very little blue paint left. I need blue. I like blue very much.
Wîî! Ew ne li vir in! Nexwe ew bi noqava xwe ya nepenî ji vir revîyane!	He! They are not here! Or they escaped from here with their secret hideout!
(mirçemirç) Himm!	(pepper) Hmm!
Wêneyên we pir xweşik in, lê divê ew ne li ser van pirtûkan bin.	Your photos are great, but they shouldn't be on these books.
Min tê derxist! Fezayîyan ji bo ku keştîya xwe bifirînin ceyrana me birine!	I got it out! The astronauts took our energy to fly their ship!
Gelo em dikarin alî te bikin?	Can we help you?
Himm, Înid. Bi rastî ew sîxurên razbar hene? Yan jî ew Doktor Bedê xerab? Bi rastî apekê te yê bi navê Kuentîn heye?	Hmmm, Friday. Do those mysterious spies really exist? Or that bad doctor? Do you really have an uncle named Quentin?
Na! Na! Na! Na! Na!	Are you here! Are you here! Are you here! Are you here! Are you here!
Hesteka ecêb ya ku berê bi min ra çêbûbû, dîsa bi min ra çêdibe.	A strange feeling that happened to me before is happening to me again.
Min ne bawer e ku ew dedektor ji bo dîtina goreyan be, Pug.	I'm not sure if that detector is for finding graves, Pug.
Ew di karê te yê kolanê da bi kêrî te hat, Pug?	Did it help you in your street work, Pug?
Pug… ez têm!	Pug… here I come!
Seg! Seg! Were ser banê pirtûkxaneyê. Ez tiştekî dibînim.	seg! seg! Come to the roof of the library. I see something.
Ez nikarim nivîna xwe rast bikim. Tu dizanî lihêfan raxî?,	I can't make my bed. Do you know how to lift the lids?
Paşê ez ji we ra çend helbestên xwe bixwînim?	Then I will read some of my poems to you?
Na, tê wateya bi hezaran morîyên ku belkî ne qenc bin.	No, it means thousands of snakes that may not be good.
…şahinşahî û ejdehayek rizgar kirin.	...kingdom and saving a dragon.
(bêhnkirin)	(to smell)
Min digot qey bi pirtûkan da bersiva her tiştî heye.	I thought there was an answer to everything in books.
Ez pir birqok im jî.	I am very bright too.
Hemû tiştên ku me berê kirine Kutik, yên li ser pirtûkan, mêşhingivan, pîrikan, lê di heman demê da ew tiştekê nû çêdikin!	All the things we have done before in Kutik, the ones about books, bees, midwives, but at the same time they are making something new!
Ev karê nêçîrê bi min xweş nehat, Seg.	I didn't like this hunting job, Seg.
Ez jî Bilî Barkir im.	I am also Bili Barkir.
WOOAH Ooh Li vê ecêbê… binêre.	WOOAH Ooh Look at this wonder...
Hewce nake em xwe veşêrin. Ew hevalê min, Seg e.	We don't need to hide. That's my friend, Seg.
Spas dikim Seg û Pug. We em pir kêfxweş kirin!	Thanks Seg and Pug. You made us very happy!
Ev çawa ye, Seg?	How is this, Seg?
Li vir balafir tune ne, Seg.	There are no planes here, Seg.
Himm.. Lê ew li vir bi tenê ye.	Hmm.. But he is alone here.
Ez kêfxweş im ku hevalekê min yê wekî te baş heye. Te îro xwe gelekî wêrek kir, bi taybetî di xwendina pirtûka xwe ya yekem da. Tu dikarî piçekê din jî bixwînî?	I am happy to have a good friend like you. You were very brave today, especially in reading your first book. Can you read a little more?
Bêhna macerayekê tê, Pug. De em li pişt vî derîyî binêrin.	Smells like an adventure, Pug. Let's look behind this door.
Ronîyên Kolanan… Rêyên Newalan. Hih! Lêgerîna Xeyalan!	Street Lights... Valley Roads. Hih! Searching for Dreams!
Ew pirtûkeka mezin e?	Is it a great book?
Himm, Gayê Newêrek… Tirîyê Sêrek. Aha! Ajelên Wêrek!	Hmmm, A Brave Bull... A Magical Grape. Aha! Brave Eagles!
Wîî! Mixabin nabe, Seg. Ez nikarim xwe biqevêzim.	He! Unfortunately not, Seg. I can't help myself.
Vir ev der e.	Here is this place.
Çi xweş! Em li Çînê ne. Ji bo firandina vafirokê ev cihekê gelekî baş e.	How nice! We are in China. This is a very good place to fly a plane.
Li vê ecêbê!	In this wonder!
Ev pirtûk li ser veşartin û dîtina tiştên giranbuha ye. Û navê wê…	This book is about hiding and finding valuable things. And her name...
Kî?	Who?
.. û em hîn jî navê wan bi bîr tînin.	.. and we still remember their names.
Li vê ecêbê. Ew hest bi min ra jî çêbû.	In this wonder. That feeling happened to me too.
Waweylê! Hewce bû hûn yek bi yek di ser pirê ra derbas bibûna. Pir gelekî kevn û rizî ye, we her duyan hilnagire.	Wow! You had to cross the bridge one by one. It's very old and rotten, it won't hold you both.
De ka em biqîrin. Yek… du… sê…	Let's shout. One... two... three...
Rast e, lê me her tişt bi qestîka kir.	It's true, but we did everything in a hurry.
Tu sandwîça sicûqan naxwî?	You don't eat chickpea sandwiches?
Ev der pir spî ye, Seg. Ma di vê pirtûkê da qet peyv tune ne?	It's too white here, Seg. Are there no words in this book?
Û her tim yek ji wan dê hebe. Her carê heyv dê bikeve şûna rojê û roj dê bikeve şûna heyvê. Ronî û tarî jî dê cih biguherin.	And there will always be one of them. Every now and then the moon will replace the sun and the sun will replace the moon. Light and dark will also change places.
ev pirtûk bi min ra heye, Seg.	I have this book, Seg.
Silav. Ez êdî ne Seg im. Ez Mirov im.	Hi there. I'm not Seg anymore. I am Human.
Na, Deyv. Baldar be. Raweste!	No, Dave. Be careful. Stop!
Ev wafil-çêker herweha robot e.	This waffle maker is also a robot.
Pênûsa Bisêr e.	It's a good pen.
Ji ber ku ez li ser karekî me!	Because I'm on a job!
Ev rastîya xeyalî ye.	This is fictional reality.
ka em bidin rê!	let's go!
Wisa dixuye ku ew qesra xîzê ji bo vî meymûnê taybet bûye.	It seems that that straw palace has become special for this monkey.
Ez pirtûkan dixwînim, Pug.	I read books, Pug.
Belkî tiştekê ku ji te ra bibe alîkar hebe.	Maybe there is something that can help you.
Ji bo ku ew baştir bibîne, Pug.	To see it better, Pug.
Mixabin ev çîrok berî ku tu bibî hevalê min qewimîbû, Pug.	Unfortunately, this story happened before you became my friend, Pug.
Werin em herin cihê min û şerê gulmiçkê bilîzin!	Let's go to my place and play bubble war!
Lê li vir segekê dirêj tune ye. Em hene!	But there is no long dog here. We are!
Silav.	Hi there.
Beq.. Req… Aah… Serpoş!	Frog.. Req... Aah... Cover!
Birca…	The tower...
gavên xwe hêdî biavêjin, ji ber ku gîyayên di bin pêyên we da dinyayeka newaze ya aferîdeyên biçûk dihewînin! Dawî!	Take your steps slowly, because the grass under your feet contains a wonderful world of small creatures! The end!
Êdî ez û Pug em dizanin bê em dixwazin li ku derê kampê bikin, Dapîra Pug.	Pug and I now know where we want to camp, Grandma Pug.
Îcar em dikarin li karê xwe binêrin.	Now we can look at our work.
Em bi ser şopekê ve bûn. Ev şûnpê ne!	We were on a trail. This is the place!
Silav lêgerên ji rêzê der û ji ber çavan dûr . Dapîra Pug dê bibe rêbera we û we bibe rêwîtîyeka keşfa binê okyanûsên kûr û nekifşkirî –	Hello out of line and out of sight seekers. Grandma Pug will be your guide and take you on a journey of discovery under the deep and unexplored oceans –
Ez êdî dizanim tu çi his dikî.	I know what you feel now.
Dinyayek roj e û yek jî şev e.	One world is day and one is night.
Ah ah! Ji kerema xwe neçin!	Ah ah! Please don't go!
Ez ji wan pirtûkan hez dikim ku mişt heyecan in!	I love books that are so exciting!
Kî ji min ra dibêje ajelê qerase, bipirç û tirsnak?	Who calls me a scrawny, feathered and scary eagle?
Min ji wê pirtûkê pir hez kir.	I really liked that book.
Ew her şev tên ba hev û ji heyvê ra distrên.	They come together every night and sing to the moon.
Min? Te ew ji destên xwe berda!	Me? You let it go!
Erê, hûn dê bistînin, Pug.	Yes, you will, Pug.
Em li ku ne, Seg?	Where are we, Seg?
Ez mîyekê çêdikim.	I'm making bread.
Tu çi kubar î.	What a fool you are.
Û em jî cot in, ji ber ku em bi hev ra macerayan dijîn!	And we are a couple, because we live adventures together!
Erê, wê fikrek da, Seg. Mişkên pirtûkxaneyê!	Yes, she gave an idea, Seg. Library mice!
Û bi wî awayî Kolînê li giravê li tenêtîyê vegerîya, lê ew qet ne bi tenê bû.	And so Colin returned to the island in solitude, but he was never alone.
Seg, min ev der eciband. Dişibe wir, lê nêzîktir e.	Seg, I like this place. It's like there, but it's closer.
Navê vê pirtûkê…	The name of this book...
Dizanim, lê xweş dixuye.	I know, but it sounds good.
(nîdayên pengizîn û xwe avêtinê)	(signs of panic and rejection)
Va em hatin, Dapîra Pug!	Here we come, Grandma Pug!
Zû bikin, divê em herin.	Hurry up, we have to go.
Va ev e. Ji hev dikeve. Dîyar e ku te jê hez kirîye.	This is it. It falls apart. It is obvious that you liked it.
Min ji şûştina keştîyê hez nekir, Seg.	I didn't like the boat wash, Seg.
Ooo! Ew şewqe pir xweşik e.	Ooo! That glow is so beautiful.
Ez pir şad im.	I am very happy.
Erê, rast e. Ew wisa qewîn e ku êdî hewce nake ku tu li ber bimînî.	Yes i agree. It is so strong that you don't need to wait anymore.
Pir xweşik e!	It's very beautiful!
Tiştek hat bîra min! Ez dizanim bê em dê çi bikin. Ev kar li gor Kîvroşka Şîrîn e!	I remembered something! I know what we will do next. This is according to Sweet Rabbit!
Min pelik dîtin û perik. Bi min ew masî ye!	I saw sheets and feathers. I think it's a fish!
Hûn dê ji bo xwendinê alî min bikin?	Will you help me to study?
Ez dixwazim bibim şahekê baş. De em ji we dest pê bikin. Ka qala xwe bikin.	I want to be a good girl. Let's start with you. Let's talk about ourselves.
Babûna xewê ji ser heyvê toza xewê direşîne ser zarokan da ku ew herin nav nivînê û razên.	The sleeping wind from the moon sprinkles sleeping powder on the children so that they go to bed and sleep.
Bi min divê tu careka din li Hefalump û Wûzilan bigerî!	I think you should visit Hefalump and Wuzilan again!
Ji bo çayê.	For tea.
Û Dorisa ker careka din nexwast ku bibe yûnîkorn, ji ber ku ew bi wî halê xwe dikarî bibûya gelek tiştên dîtir.	And Doris the deaf didn't want to be a unicorn again, because she could have been so much more.
Seg, li min binêre! Ji sermayê ez qerisîm!	Seg, look at me! I'm cold!
Ji bo rûniştinê cihekê xweş e.	It is a nice place to stay.
(bêhnçikîn) Ah! Hûn kî ne?	(sigh) Ah! who are you
Li min bibore, Pug. Tu baş î?	I'm sorry, Pug. Are you all right?
Û em dê hêdî hêdî wekî Corcê koala herin!	And we'll go as slow as George the koala!
Wîî! Ew çi ne, Seg!?	He! What are they, Seg!?
Nivîskara vê pirtûkê…	The author of this book...
Ez fam nakim. Biskiwîtên Bilî Barkir li gor tama devê segan tên çêkirin. Masî çawa ketin nav biskiwîtên min?	I don't understand. Bili Barkir biscuits are made according to the taste of dogs. How did the fish get into my biscuits?
Lê ji ber ku ew biçûk in, min guh nedida wan.	But because they are small, I didn't pay attention to them.
Dibêjin ti kes nikare li ser giravekê bi tena serê xwe bijî, lê Kolîn dikarî.	They say no one can live alone on an island, but Kolin can.
Weyla! Ew dîsa winda bû!	Wow! He disappeared again!
Aah! Em dîsa bilîzin!	Aah! Let's play again!
Ez ji pirtûkên ku min dibin cihên dûr…	I love books that take me to faraway places...
Efnik negirtine! Ew kesk in! Tilîyên min ji ber çandina hêjîran kesk in!	They haven't caught Efnik! They are green! My fingers are green from growing figs!
Ew tu yî, Pug?	Is that you, Pug?
Segmar-segmar-segmar-segmar. Segmar- segmar-segmar-segmar!	Segmar-segmar-segmar-segmar. Segmar-segmar-segmar-segmar!
Weyla, mîrê min bi tenê ji hûtan ditirse.	Alas, my lord is only afraid of the Hutts.
Bila ew mişkên pirtûkxaneyê têra xwe bikenin…	Let those library mice have enough laughs…
Himm! Nayê bîra min jî. Nexwe pirtûkek dikare ji me ra bibêje bê duh em li ku derê bûn!	Hmm! I don't even remember. A book can tell us where we were yesterday!
Lê ez ditirsim û divê ez ji yekê ra bibêjim bila here devereka din.	But I'm afraid and I have to tell someone to go somewhere else.
Na, ji kerema xwe neçin. Kimîl dê gaveka din were.	No, please don't go. Kimil will take the next step.
Em dê heta kengî di tarîyê da bimînin?	How long will we stay in the dark?
Lê êdî…	But now...
Baş e ku min li jêrzemînê pratîka sorfê kir û ez hîn bûm!	Good thing I practiced surfing in the basement and I learned!
Robotîk… Meletîk… Aha! Akrobatîk!	Robotics... Meletics... Aha! Acrobatics!
Te qet ejdeha dîtine, Seg?!	Have you ever seen a dragon, Seg?!
Erê. Berî kêlîyekê li ba min bû, lê ji nişka ve winda bû! Bêhna me teng bû.	Yes. I had it a moment ago, but suddenly it disappeared! We were short of breath.
